pool_name,metric_category,metric_name,metric_value,metric_unit,explanation,missing_fields
same_family,pool,n_candidates,500.0,count,Number of rows in this candidate pool.,
same_family,pool,duplicate_candidate_count,0.0,count,Repeated candidate_jid rows inside this pool.,
same_family,pool,duplicate_formula_count,38.0,count,Repeated formula rows inside this pool.,
same_family,pool,missing_value_rate_required_columns,0.0625,fraction,Average missing-value rate across required/recommended Phase 3 columns.,
same_family,chemistry,same_chemical_system_rate,0.006,fraction,Fraction of candidates with the same chemical system as query (Lu-Ni-Sn).,
same_family,chemistry,same_composition_family_rate,0.0,fraction,Fraction of candidates with the same composition family as query (metallic_or_intermetallic).,
same_family,chemistry,same_material_family_rate,0.0,fraction,Fraction of candidates with the same broad material family as query (metallic_or_intermetallic).,
same_family,chemistry,same_formula_family_rate,0.994,fraction,Fraction of candidates with the same formula family as query (ABC4).,
same_family,chemistry,same_prototype_family_rate,1.0,fraction,Fraction of candidates with the same prototype family as query (unknown).,
same_family,chemistry,same_structure_variant_rate,1.0,fraction,Fraction of candidates with the same structure variant as query (unknown).,
same_family,chemistry,mean_element_overlap_fraction_query,0.23266666666666663,fraction,Average fraction of query elements present in candidates.,
same_family,chemistry,composition_family_entropy,0.5236367847520352,0-1,Normalised entropy of composition families. Low = concentrated family; high = diverse families.,
same_family,chemistry,material_family_entropy,0.5236367847520352,0-1,Normalised entropy of broad material families. Low = concentrated family; high = diverse families.,
same_family,chemistry,formula_family_entropy,0.031212427674587297,0-1,Normalised entropy of formula families. Low = concentrated stoichiometric family; high = diverse families.,
same_family,chemistry,prototype_family_entropy,0.0,0-1,Normalised entropy of prototype families. Low = concentrated prototype context; high = diverse prototype contexts.,
same_family,chemistry,structure_variant_entropy,0.0,0-1,Normalised entropy of structure variants. Low = concentrated variant; high = variant-diverse.,
same_family,metadata,material_type_count,2.0,count,Number of distinct material_type values in pool.,
same_family,metadata,dataset_kind_count,2.0,count,Number of distinct dataset_kind values in pool.,
same_family,metadata,mean_selection_score,9.374333333333333,score,Average Phase 2 cheap selection score for candidates in this pool.,
same_family,symmetry,same_spacegroup_rate,0.66,fraction,Fraction of candidates matching query space group (216.0).,
same_family,symmetry,same_crystal_system_rate,0.664,fraction,Fraction of candidates matching query crystal system code (7.0).,
same_family,symmetry,mean_symmetry_distance,42.044,absolute_difference,"Average absolute space-group distance from query, as supplied by Phase 2.",
same_family,symmetry,spacegroup_entropy,0.46901358647209296,0-1,Normalised entropy of space-group distribution. High values indicate diverse symmetry.,
same_family,symmetry,crystal_system_entropy,0.5858709237871973,0-1,Normalised entropy of crystal-system distribution.,
same_family,stability,mean_energy_above_hull,0.1735602,eV,Average energy above hull in candidate pool. Query value is None.,
same_family,stability,stable_fraction_ehull_le_0_1,0.794,fraction,Fraction of candidates with energy_above_hull <= 0.1 eV.,
same_family,stability,zero_hull_fraction,0.496,fraction,Fraction of candidates exactly on the hull according to available metadata.,
same_family,stability,known_synthesized_rate,1.0,fraction,Fraction of candidates marked known_synthesized=True.,
same_family,stability,energy_above_hull_missing_rate,0.0,fraction,Missing-value rate for energy_above_hull.,
same_family,bridge_inputs,chemical_similarity_score,0.07955555555555555,0-1,Derived cheap pool-level input for bridge-specific evidence and downstream role priors.,
same_family,bridge_inputs,family_similarity_score,0.5988,0-1,Derived cheap pool-level input for bridge-specific evidence and downstream role priors.,
same_family,bridge_inputs,symmetry_similarity_score,0.6345200000000001,0-1,Derived cheap pool-level input for bridge-specific evidence and downstream role priors.,
same_family,bridge_inputs,structural_metadata_similarity_score,0.8781733333333334,0-1,Derived cheap pool-level input for bridge-specific evidence and downstream role priors.,
same_family,bridge_inputs,query_similarity_score,0.5876322222222222,0-1,Derived cheap pool-level input for bridge-specific evidence and downstream role priors.,
same_family,bridge_inputs,pool_diversity_score,0.3047672153482783,0-1,Derived cheap pool-level input for bridge-specific evidence and downstream role priors.,
same_family,bridge_inputs,structural_regime_diversity_score,0.2637211275648226,0-1,Derived cheap pool-level input for bridge-specific evidence and downstream role priors.,
adjacent_family,pool,n_candidates,3.0,count,Number of rows in this candidate pool.,
adjacent_family,pool,duplicate_candidate_count,0.0,count,Repeated candidate_jid rows inside this pool.,
adjacent_family,pool,duplicate_formula_count,0.0,count,Repeated formula rows inside this pool.,
adjacent_family,pool,missing_value_rate_required_columns,0.06249999999999999,fraction,Average missing-value rate across required/recommended Phase 3 columns.,
adjacent_family,chemistry,same_chemical_system_rate,0.0,fraction,Fraction of candidates with the same chemical system as query (Lu-Ni-Sn).,
adjacent_family,chemistry,same_composition_family_rate,0.0,fraction,Fraction of candidates with the same composition family as query (metallic_or_intermetallic).,
adjacent_family,chemistry,same_material_family_rate,0.0,fraction,Fraction of candidates with the same broad material family as query (metallic_or_intermetallic).,
adjacent_family,chemistry,same_formula_family_rate,0.0,fraction,Fraction of candidates with the same formula family as query (ABC4).,
adjacent_family,chemistry,same_prototype_family_rate,0.0,fraction,Fraction of candidates with the same prototype family as query (unknown).,
adjacent_family,chemistry,same_structure_variant_rate,0.0,fraction,Fraction of candidates with the same structure variant as query (unknown).,
adjacent_family,chemistry,mean_element_overlap_fraction_query,0.6666666666666666,fraction,Average fraction of query elements present in candidates.,
